Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUG00000007889	1.12035	0.475905	3.1627	44.2927	0.465017	0.931136	0.387626	0.484183	0.0544725	50.6365	7.23622
ENSELUG00000007890	4.422091	2.68294	4.066657	27.34221	1.8601951	4.830181	37.82012	56.76201	0.985422	39.61749	7.888341
ENSELUG00000007891	18.877994	24.89994	11.011771	11.9839	20.632017	16.284456	13.51775	24.06972	17.966351	4.145943	17.09858
ENSELUG00000007892	9.42273	7.220694	22.293049	19.1577	31.451134	9.8113	10.986634	17.094272	0.32771	2.9085	23.743778
ENSELUG00000007893	6.78565	9.64935	10.1424	12.4302	9.86773	9.69079	13.6605	4.57334	1.44709	3.65396	38.2575
ENSELUG00000007894	12.15666	7.78316	4.21377	1.37023	5.94303	6.68345	4.40278	30.298837	2.225616	35.3084	17.30417
ENSELUG00000007895	6.86676	9.78424	3.992597	7.61612	9.30292	4.918254	2.852145	1.126638	0.8930347	8.61833	6.78351
ENSELUG00000007896	1.69123	0.418929	0.10166	1.87952	1.97156	2.01985	54.6829	0	0	0	0
ENSELUG00000007897	2.849782631	4.185847	5.71987	1.61048	12.867992	3.259836	2.554649	2.442601	1.396978	14.392357	16.50947
ENSELUG00000007898	11.0767	22.106913	29.330251	20.669920988	11.8247	8.34243	71.450686	2.72148	1.21417	66.2495	33.876
ENSELUG00000007899	35.3953	53.36854	39.93464	28.12243	42.6946	34.37566	31.29683	14.8126	3.472001	58.851	24.8954
ENSELUG00000007900	1.87247	24.9061	2.70048	0	0.0477291	0.103289	0.0323506	0	0	6.44123	8.07139
ENSELUG00000007901	0.24716	0.116259	0.68922	0	0.09976	0	0	94.278	0	0	2.64496
ENSELUG00000007902	9.78617	16.569	2.89608	1.75523	15.6131	3.78085	0.622962	0.879406	5.97213	0.173671	2.85016
ENSELUG00000007903	21.4101	42.5804	31.1628	55.6259	32.9093	43.7101	45.7184	13.8915	6.11269	92.9485	40.7823
ENSELUG00000007904	1.03091	1.49126	0.703062	0.143322	0.131345	0.51181	0.249391	0.0741344	0	0	2.29575
ENSELUG00000007905	27.6197	42.285	66.4628	49.0849	50.1795	21.3987	59.110553	26.939485	18.4199	451.539139	63.033523
ENSELUG00000007906	27.89664	117.21665	24.6396	2.8928793	2.44802	2.8084433	0.968366	0.395231	3.50034	0.288822	7.999699
ENSELUG00000007907	3.98111	0.656092	0.679511	0.218792	0.241654	0.175771	0.220883	0.378341	0	0	0.455452
ENSELUG00000007908	0.217041	0.2672	0.400632	0.599451	0.681436	0.581283	0.737533	12.0651	0	0.0891753	0.447933
ENSELUG00000007909	3.82636	8.66459	10.5862	9.25744	7.52931	7.39753	11.2831	2.58628	1.05779	55.5029	14.5935
ENSELUG00000007910	0.836779	0.476987	0.220876	0.83342	0.668737	0.98012	2.38067	0.231176	0.0170922	0.263733	1.01472
ENSELUG00000007911	0.0486618	0.195557	0.174707	0.1901	4.71259	0.042943	0.0134402	0.0280699	0	0.0603116	0.22095
