Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSCAFG00000000390	4.67	3.1	2.96	1.7	7.59	1.52	4.47
ENSCAFG00000000391	19.36	0.57	0.04	0	0	0.18	0
ENSCAFG00000000393	152.66	49.31	18.18	8.28	31.92	27.63	107.87
ENSCAFG00000000394	33.19	18.13	15.34	10.25	27.85	16.91	129.56
ENSCAFG00000000395	68.13	16.69	12.3	50.35	33.95	15.94	19.28
ENSCAFG00000000396	61.9	9.32	23.11	10.64	47.92	10.49	197.49
ENSCAFG00000000397	86.04	11.07	32.65	17.23	62.98	6.38	186.64
ENSCAFG00000000398	60.93	4.19	12.59	3.58	9.69	1.41	8.03
ENSCAFG00000000399	0.52	0.14	2.79	0.38	1.64	0	0
ENSCAFG00000000400	0	0	0	0.49	0	0	0
ENSCAFG00000000402	21.84	30.06	7.47	0.5	48.05	47.92	12.3
ENSCAFG00000000404	0.06	0	18.17	44.3	0.1	0.04	0.08
ENSCAFG00000000405	10.6	1.62	1.05	0.16	17.73	1.02	5.54
ENSCAFG00000000406	24.05	6.26	13.24	5.54	40.85	5.44	19.67
ENSCAFG00000000407	22.23	33.36	7.78	2.77	35.56	29.71	17.07
ENSCAFG00000000408	0	0	0	0	0.12	0	0
ENSCAFG00000000409	2.13	0	0	0.26	0	0	0
ENSCAFG00000000410	0	0	0	0	0	0	0
ENSCAFG00000000411	44.81	55.32	54.23	38	86.53	35.99	77.03
ENSCAFG00000000412	6.56	1.2	3.98	1.44	12.77	0.7	25.72
ENSCAFG00000000413	9.54	1.58	9.3	1.22	5.48	0.55	8.63
ENSCAFG00000000414	36.47	7.07	6.79	2.52	19.99	1.43	12.26
ENSCAFG00000000415	27.98	8.87	21.46	12.74	82.94	8.3	23.19
ENSCAFG00000000416	141.6	102.26	58.35	27.96	64.66	64.43	216.64
ENSCAFG00000000417	10.08	3.7	4.49	3.45	11.95	3.19	34
ENSCAFG00000000418	26.24	18.18	28.38	19.07	44.44	30.5	20.26
ENSCAFG00000000419	35.3	5.1	28.13	1.56	59.86	5.13	382.41
ENSCAFG00000000420	1.32	0.29	2.79	0.47	199.04	0.72	5.94
ENSCAFG00000000421	0	0	0	0	0	0	0
ENSCAFG00000000422	4.16	1.88	3.62	2.08	11.2	1.7	3.91
ENSCAFG00000000423	19.19	6.46	21.06	19.74	12.07	6.55	7.2
ENSCAFG00000000424	41.46	15.85	20.72	10.35	47.79	7.12	82.75
ENSCAFG00000000425	26.53	12.72	28.86	13.01	17.54	15.5	14.64
ENSCAFG00000000426	10.3	15.92	3.88	18.68	250.49	9.94	6.35
ENSCAFG00000000427	27.35	11.57	16.7	7.31	47.04	9.76	148.42
ENSCAFG00000000428	5.59	3.29	4.05	2.22	6.1	1.49	3.88
ENSCAFG00000000429	0.97	0.01	0.39	12	7.83	0.18	8.94
ENSCAFG00000000430	0.52	0.07	0.75	0.19	5.32	1.24	2.3
ENSCAFG00000000431	15.31	3.2	4.27	3.76	22.95	1.79	5.49
ENSCAFG00000000432	125.67	40.69	163.8	47.47	118.31	38.23	406.45
ENSCAFG00000000433	5.96	2.51	1.55	1.73	14.13	5.16	44.02
ENSCAFG00000000434	0.38	620.7	0.33	0.14	0.4	0.12	0.62
