transcript	TPM.bones	TPM.brain	TPM.embryo	TPM.lung	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUT00000009764.1	4.04548	7.18817	6.68003	6.52239	4.43107	4.46932	4.45063	3.24601	0.811301	28.4678	4.71188
ENSELUT00000009765.1	0	0.180252	0.558449	0	0	0	0	0	0	0	0
ENSELUT00000009766.1	5.82373	3.50409	8.09628	8.54168	5.05187	4.42801	8.2655	1.46011	1.47909	69.5196	22.7483
ENSELUT00000009767.1	2.21944	2.77361	1.86315	2.37971	3.51148	3.20203	1.95048	1.27609	0	4.22107	2.73765
ENSELUT00000009768.1	0	1.41737	4.8003e-09	0	0	0	0	0	0	0	0.0471524
ENSELUT00000009769.1	0	0.0794048	0.193441	0	0.244388	0.226148	2.32997e-09	0.718214	0	2.84967	0.681023
ENSELUT00000009770.1	5.19428	2.99372	8.96887	2.95871	13.7304	2.91315	6.84217	0.436435	0	0.702407	0.0162838
ENSELUT00000009771.1	30.4844	32.8171	29.045	80.5908	47.0203	64.7633	84.13	5.15283	3.01796	8.67518	26.1518
ENSELUT00000009772.1	0	0	0	0.831465	0.145513	0.182105	0.293443	0	0.325789	0.375274	1.40738
ENSELUT00000009773.1	9.41183	42.6433	7.02063	16.6696	11.2633	12.4606	40.7074	1.57251	0.329189	4.06358	15.4443
ENSELUT00000009774.1	0.318038	5.15263	1.6832	0.176213	0.0431213	0.0935816	2.75796	0	0	0.263846	0.161034
ENSELUT00000009775.1	2.27881	2.39342	3.38221	2.92366	2.35417	2.57792	3.51033	1.17106	0	13.1131	9.78182
ENSELUT00000009776.1	4.62082	8.10932	7.02824	0.601719	5.35451	5.77506	0.260874	0.114395	0	0	3.57338
ENSELUT00000009777.1	0	1.70304	1.08604	11.965	4.0668	8.98144	2.48476	7.17805	0	4.16728	2.2139
ENSELUT00000009778.1	36.1144	52.7438	28.8916	34.6663	52.0505	35.1707	22.2153	15.2332	37.4608	36.5623	33.4844
ENSELUT00000009779.1	63.9067	93.5331	74.0178	43.1824	32.5592	80.669	32.4187	5.27547	26.8485	25.5487	26.7455
