Gene,From,To,JumpProbability
1025,42,45,0.8766
1025,45,20,0.7398
1025,45,21,0.9971
1025,36,22,1
1025,35,23,1
1026,22,23,0.0052
1026,23,24,0.1185
1026,24,1,0.0012
1026,24,25,0.0074
1026,25,26,0.0182
1026,26,2,7e-04
1026,26,3,9e-04
1026,25,4,0.0018
1026,23,27,0.0045
1026,27,28,0.042
1026,28,5,0.0019
1026,28,6,0.0024
1026,27,29,0.001
1026,29,30,0.0239
1026,30,31,0.0247
1026,31,7,9e-04
1026,31,8,5e-04
1026,30,32,0.0229
1026,32,9,0.1066
1026,32,10,0.8953
1026,29,11,0.0024
1026,22,33,0.0131
1026,33,12,0.0019
1026,33,34,0.0335
1026,34,13,7e-04
1026,34,35,0.0151
1026,35,36,0.001
1026,36,37,0.0154
1026,37,14,0.0072
1026,37,15,0.0017
1026,36,38,0.0029
1026,38,16,0.0013
1026,38,39,0.0143
1026,39,17,3e-04
1026,39,18,0
1026,35,40,0.0066
1026,40,19,3e-04
1026,40,41,0.0059
1026,41,20,3e-04
1026,41,21,1e-04
1027,19,20,9e-04
1027,20,21,9e-04
1027,21,22,1e-04
1027,22,23,5e-04
1027,23,1,0.0016
1027,23,2,0.0012
1027,22,3,0.0031
1027,21,24,6e-04
1027,24,4,0.0018
1027,24,5,0.0019
1027,20,25,0.0015
1027,25,26,0
1027,26,27,0.0012
1027,27,6,0.0015
1027,27,7,5e-04
1027,26,8,0.004
1027,25,9,0.0099
1027,19,28,0.0037
1027,28,29,0.0028
1027,29,30,3e-04
1027,30,31,5e-04
1027,31,32,0.0117
1027,32,10,0.0253
1027,32,11,0.9772
1027,31,12,8e-04
1027,30,33,5e-04
1027,33,13,0
1027,33,14,6e-04
1027,29,34,4e-04
1027,34,35,1e-04
1027,35,15,2e-04
1027,35,16,6e-04
1027,34,17,2e-04
1027,28,18,0.0047
1028,21,22,0.001
1028,22,23,9e-04
1028,23,1,0.0039
1028,23,24,9e-04
1028,24,25,0.0012
1028,25,2,0.0025
1028,25,3,0.0108
1028,24,26,0.0038
1028,26,4,0.0088
1028,26,5,0.001
1028,22,27,9e-04
1028,27,28,8e-04
1028,28,6,0.001
1028,28,7,0.001
1028,27,8,0.0022
1028,21,29,0.0014
1028,29,30,0.0015
1028,30,31,6e-04
1028,31,32,0
1028,32,33,0.0011
1028,33,34,0
1028,34,9,0
1028,34,10,1
1028,33,11,5e-04
1028,32,35,0
1028,35,36,0
1028,36,12,4e-04
1028,36,13,4e-04
1028,35,37,5e-04
1028,37,14,0
1028,37,15,0
1028,31,38,2e-04
1028,38,16,4e-04
1028,38,39,4e-04
1028,39,17,4e-04
1028,39,18,2e-04
1028,30,19,0.0012
1028,29,20,0.005
1029,20,21,0.0652
1029,21,22,0.0733
1029,22,1,0.4924
1029,22,23,0.0177
1029,23,2,0.1205
1029,23,24,0.0573
1029,24,3,0.1305
1029,24,4,0.0804
1029,21,25,0.0663
1029,25,26,0.0348
1029,26,27,0.0595
1029,27,5,0.0648
1029,27,6,0.0615
1029,26,7,0.5489
1029,25,8,0.3603
1029,20,28,0.0951
1029,28,9,0.2328
1029,28,29,0.1101
1029,29,30,0.2974
1029,30,10,0.2072
1029,30,11,0.9333
1029,29,31,0.0853
1029,31,32,0.0157
1029,32,33,0.046
1029,33,12,0.9677
1029,33,13,0.1428
1029,32,34,0.0064
1029,34,14,0.0522
1029,34,35,0.9802
1029,35,15,0.0089
1029,35,16,0.0097
1029,31,36,0.0218
1029,36,17,0.0468
1029,36,37,0.0436
1029,37,18,0.0448
1029,37,19,0.012
102,43,44,0.4206
102,44,45,0.4294
102,45,46,0.1319
102,46,47,0.2097
102,47,1,0.4338
102,47,48,0.0997
102,48,49,0.0433
102,49,50,0.0399
102,50,2,0.0286
102,50,3,0.0204
102,49,4,0.0483
102,48,51,0.0078
102,51,52,0.0153
102,52,5,0.0611
102,52,53,0.088
102,53,6,0.89
102,53,7,0.1367
102,51,54,0.093
102,54,8,0.0134
102,54,9,0.014
102,46,10,0.295
102,45,55,0.2754
102,55,56,0.0385
102,56,57,0.1192
102,57,11,0.098
102,57,12,0.1018
102,56,13,0.1848
102,55,14,0.2175
102,44,58,0.4261
102,58,59,0.1272
102,59,15,0.2935
102,59,60,0.2116
102,60,16,0.2383
102,60,61,0.0946
102,61,62,0.0444
102,62,17,0.0805
102,62,63,0.0409
102,63,18,0.0633
102,63,19,0.2334
102,61,64,0.0079
102,64,65,0.0913
102,65,20,0.0304
102,65,21,0.1464
102,64,66,0.0148
102,66,67,0.0903
102,67,22,0.0121
102,67,23,0.0207
102,66,24,0.0579
102,58,68,0.2791
102,68,69,0.0356
102,69,70,0.1212
102,70,25,0.0999
102,70,26,0.1351
102,69,27,0.2131
102,68,71,0.1141
102,71,28,0.1343
102,71,29,0.1439
102,43,72,0.6791
102,72,73,0.3515
102,73,74,0.095
102,74,75,0.0467
102,75,30,0.0489
102,75,76,0.0423
102,76,31,0.2207
102,76,32,0.7639
102,74,77,0.0068
102,77,78,0.0968
102,78,33,0.1221
102,78,34,0.021
102,77,79,0.0145
102,79,80,0.0895
102,80,35,0.0192
102,80,36,0.0115
102,79,37,0.1026
102,73,38,0.1871
102,72,81,0.276
102,81,82,0.0318
102,82,83,0.1215
102,83,39,0.1696
102,83,40,0.1014
102,82,41,0.22
102,81,42,0.2132
1030,18,19,0.0154
1030,19,20,0.0729
1030,20,1,1
1030,20,21,0.016
1030,21,2,0.0011
1030,21,3,0.0019
1030,19,22,0.0546
1030,22,23,0.0067
1030,23,24,0.0258
1030,24,4,0.0019
1030,24,5,0.001
1030,23,6,0.0115
1030,22,7,0.012
1030,18,25,0.0156
1030,25,26,0.0551
1030,26,27,0.0048
1030,27,8,0.0018
1030,27,9,0.0036
1030,26,28,0.02
1030,28,10,0.0013
1030,28,11,0.0054
1030,25,29,0.071
1030,29,30,0.017
1030,30,31,0.0042
1030,31,12,0.001
1030,31,13,6e-04
1030,30,32,0.0078
1030,32,33,0.0078
1030,33,14,4e-04
1030,33,15,3e-04
1030,32,16,3e-04
1030,29,17,0.0021
1032,19,20,0.0253
1032,20,21,0.0333
1032,21,22,0.0052
1032,22,23,0.0263
1032,23,1,0.0259
1032,23,2,0.0306
1032,22,3,0.0536
1032,21,4,0.0647
1032,20,24,0.0277
1032,24,25,0.0075
1032,25,26,0.0397
1032,26,5,0.0322
1032,26,6,0.0378
1032,25,7,0.1459
1032,24,8,0.0757
1032,19,27,0.032
1032,27,9,0.1021
1032,27,28,0.0437
1032,28,29,0.0218
1032,29,30,0.001
1032,30,31,0.0041
1032,31,10,0.036
1032,31,11,0.9904
1032,30,32,0.0033
1032,32,33,0.0123
1032,33,12,0.0108
1032,33,13,0.0079
1032,32,14,0.2108
1032,29,34,0.0077
1032,34,35,0.0061
1032,35,15,0.0106
1032,35,16,0.0188
1032,34,17,0.0343
1032,28,18,0.0779
1034,29,30,0.0101
1034,30,31,0.0125
1034,31,32,0.0022
1034,32,1,0.0067
1034,32,33,0.0976
1034,33,34,0.0028
1034,34,35,0.0049
1034,35,36,0.0265
1034,36,2,0
1034,36,3,3e-04
1034,35,4,0.0039
1034,34,37,0.0277
1034,37,5,1
1034,37,6,5e-04
1034,33,38,0.0128
1034,38,7,6e-04
1034,38,39,0.0115
1034,39,8,0.0077
1034,39,9,8e-04
1034,31,40,0.0885
1034,40,10,0.0054
1034,40,41,0.0125
1034,41,11,0.0039
1034,41,42,0.0412
1034,42,12,0.0023
1034,42,13,9e-04
1034,30,43,0.0109
1034,43,44,0.0037
1034,44,14,0.0058
1034,44,45,0.0628
1034,45,15,0.9103
1034,45,46,0.0314
1034,46,47,0.0149
1034,47,16,7e-04
1034,47,48,0.0113
1034,48,17,3e-04
1034,48,18,3e-04
1034,46,49,0.0021
1034,49,50,0.0059
1034,50,51,0.0258
1034,51,19,2e-04
1034,51,20,0
1034,50,21,9e-04
1034,49,52,0.0319
1034,52,22,1e-04
1034,52,23,2e-04
1034,43,53,0.1005
1034,53,54,0.0345
1034,54,24,0.0041
1034,54,25,0.0039
1034,53,26,0.003
1034,29,55,0.4494
1034,55,27,2e-04
1034,55,28,0
1035,22,23,1
1035,23,24,0.9987
1035,24,1,0.9996
1035,24,25,0.7744
1035,25,26,0.0995
1035,26,27,0.2013
1035,27,28,0.722
1035,28,2,1
1035,28,3,1
1035,27,4,1
1035,26,29,0.7692
1035,29,5,0.9703
1035,29,6,0.1687
1035,25,30,0.4979
1035,30,7,0.2486
1035,30,31,0.4482
1035,31,8,0.9708
1035,31,9,0.1479
1035,23,32,0.9886
1035,32,33,0.4199
1035,33,34,0.8981
1035,34,10,0.6005
1035,34,11,0.9998
1035,33,35,0.861
1035,35,12,0.9999
1035,35,13,0.6749
1035,32,36,0.5904
1035,36,14,1
1035,36,37,0.5746
1035,37,15,1
1035,37,16,0.9995
1035,22,38,1
1035,38,39,0.4211
1035,39,40,0.8607
1035,40,17,1
1035,40,18,1
1035,39,19,0.9645
1035,38,41,0.8256
1035,41,20,0.8629
1035,41,21,1
1036,24,25,0.4632
1036,25,26,0.472
1036,26,27,0.4684
1036,27,1,0.6114
1036,27,2,0.6534
1036,26,28,0.1784
1036,28,29,0.4342
1036,29,3,0.4533
1036,29,4,0.4629
1036,28,5,0.8106
1036,25,30,0.5392
1036,30,31,0.0853
1036,31,32,0.0835
1036,32,6,0.7577
1036,32,33,0.5602
1036,33,7,0.9687
1036,33,8,0.8048
1036,31,34,0.6379
1036,34,35,0.4091
1036,35,9,0.5261
1036,35,10,0.452
1036,34,11,0.715
1036,30,36,0.4023
1036,36,37,0.4852
1036,37,12,0.8287
1036,37,13,0.4749
1036,36,14,0.7798
1036,24,38,0.8696
1036,38,15,0.6298
1036,38,39,0.3263
1036,39,40,0.0276
1036,40,41,0.1409
1036,41,42,0.9936
1036,42,16,0.0853
1036,42,17,0.1137
1036,41,18,0.3909
1036,40,43,0.5908
1036,43,19,0.3106
