Gene stable ID	Transcript stable ID
ENSAMXG00000000405	ENSAMXT00000000405
ENSAMXG00000000406	ENSAMXT00000000407
ENSAMXG00000000407	ENSAMXT00000000415
ENSAMXG00000000408	ENSAMXT00000000408
ENSAMXG00000000409	ENSAMXT00000000409
ENSAMXG00000000410	ENSAMXT00000000411
ENSAMXG00000000411	ENSAMXT00000000413
ENSAMXG00000000412	ENSAMXT00000000421
ENSAMXG00000000413	ENSAMXT00000000414
ENSAMXG00000000414	ENSAMXT00000000417
ENSAMXG00000000415	ENSAMXT00000000420
ENSAMXG00000000416	ENSAMXT00000000430
ENSAMXG00000000417	ENSAMXT00000000424
ENSAMXG00000000418	ENSAMXT00000000423
ENSAMXG00000000419	ENSAMXT00000000426
ENSAMXG00000000420	ENSAMXT00000000447
ENSAMXG00000000421	ENSAMXT00000000436
ENSAMXG00000000422	ENSAMXT00000000441
ENSAMXG00000000423	ENSAMXT00000000429
ENSAMXG00000000424	ENSAMXT00000000428
ENSAMXG00000000425	ENSAMXT00000000427
ENSAMXG00000000426	ENSAMXT00000000440
ENSAMXG00000000427	ENSAMXT00000000431
ENSAMXG00000000428	ENSAMXT00000000434
ENSAMXG00000000429	ENSAMXT00000000435
ENSAMXG00000000430	ENSAMXT00000000432
ENSAMXG00000000431	ENSAMXT00000000443
ENSAMXG00000000432	ENSAMXT00000000433
ENSAMXG00000000433	ENSAMXT00000000439
ENSAMXG00000000434	ENSAMXT00000000437
ENSAMXG00000000435	ENSAMXT00000000438
ENSAMXG00000000436	ENSAMXT00000000448
ENSAMXG00000000437	ENSAMXT00000000446
ENSAMXG00000000438	ENSAMXT00000000442
ENSAMXG00000000439	ENSAMXT00000000444
ENSAMXG00000000440	ENSAMXT00000000445
ENSAMXG00000000441	ENSAMXT00000000451
ENSAMXG00000000442	ENSAMXT00000000492
ENSAMXG00000000443	ENSAMXT00000000459
ENSAMXG00000000444	ENSAMXT00000000453
ENSAMXG00000000445	ENSAMXT00000000450
