Gene stable ID	Transcript stable ID
ENSORLG00000000295	ENSORLT00000000362
ENSORLG00000000296	ENSORLT00000000363
ENSORLG00000000297	ENSORLT00000000364
ENSORLG00000000298	ENSORLT00000000365
ENSORLG00000000299	ENSORLT00000000366
ENSORLG00000000300	ENSORLT00000000368
ENSORLG00000000300	ENSORLT00000000369
ENSORLG00000000301	ENSORLT00000000367
ENSORLG00000000302	ENSORLT00000000370
ENSORLG00000000303	ENSORLT00000000373
ENSORLG00000000304	ENSORLT00000000371
ENSORLG00000000305	ENSORLT00000000372
ENSORLG00000000306	ENSORLT00000000374
ENSORLG00000000308	ENSORLT00000000376
ENSORLG00000000309	ENSORLT00000000377
ENSORLG00000000310	ENSORLT00000000378
ENSORLG00000000311	ENSORLT00000000379
ENSORLG00000000311	ENSORLT00000000380
ENSORLG00000000312	ENSORLT00000000381
ENSORLG00000000313	ENSORLT00000000382
ENSORLG00000000313	ENSORLT00000000383
ENSORLG00000000314	ENSORLT00000000384
ENSORLG00000000315	ENSORLT00000000385
ENSORLG00000000316	ENSORLT00000000386
ENSORLG00000000317	ENSORLT00000000387
ENSORLG00000000318	ENSORLT00000000390
ENSORLG00000000318	ENSORLT00000000393
ENSORLG00000000320	ENSORLT00000000389
ENSORLG00000000321	ENSORLT00000000391
ENSORLG00000000322	ENSORLT00000000392
ENSORLG00000000323	ENSORLT00000000394
ENSORLG00000000324	ENSORLT00000000395
ENSORLG00000000325	ENSORLT00000000400
ENSORLG00000000326	ENSORLT00000000396
ENSORLG00000000328	ENSORLT00000000399
ENSORLG00000000329	ENSORLT00000000398
ENSORLG00000000330	ENSORLT00000000401
ENSORLG00000000332	ENSORLT00000000403
ENSORLG00000000333	ENSORLT00000000405
ENSORLG00000000333	ENSORLT00000000407
ENSORLG00000000334	ENSORLT00000000404
ENSORLG00000000335	ENSORLT00000000409
ENSORLG00000000336	ENSORLT00000000411
ENSORLG00000000337	ENSORLT00000000406
ENSORLG00000000338	ENSORLT00000000408
ENSORLG00000000338	ENSORLT00000000410
