Gene stable ID	Transcript stable ID
ENSELUG00000000175	ENSELUT00000012040
ENSELUG00000000176	ENSELUT00000012221
ENSELUG00000000177	ENSELUT00000012053
ENSELUG00000000178	ENSELUT00000011978
ENSELUG00000000179	ENSELUT00000011894
ENSELUG00000000180	ENSELUT00000011742
ENSELUG00000000181	ENSELUT00000011786
ENSELUG00000000181	ENSELUT00000011841
ENSELUG00000000182	ENSELUT00000011766
ENSELUG00000000183	ENSELUT00000011677
ENSELUG00000000184	ENSELUT00000011663
ENSELUG00000000185	ENSELUT00000011660
ENSELUG00000000185	ENSELUT00000011682
ENSELUG00000000185	ENSELUT00000011754
ENSELUG00000000186	ENSELUT00000011712
ENSELUG00000000186	ENSELUT00000011743
ENSELUG00000000186	ENSELUT00000011772
ENSELUG00000000187	ENSELUT00000011681
ENSELUG00000000187	ENSELUT00000011708
ENSELUG00000000188	ENSELUT00000011674
ENSELUG00000000188	ENSELUT00000011697
ENSELUG00000000188	ENSELUT00000011715
ENSELUG00000000189	ENSELUT00000011684
ENSELUG00000000189	ENSELUT00000011726
ENSELUG00000000190	ENSELUT00000011602
ENSELUG00000000191	ENSELUT00000011581
ENSELUG00000000192	ENSELUT00000011209
ENSELUG00000000192	ENSELUT00000011271
ENSELUG00000000192	ENSELUT00000011307
ENSELUG00000000192	ENSELUT00000011336
ENSELUG00000000193	ENSELUT00000011193
ENSELUG00000000194	ENSELUT00000011188
ENSELUG00000000194	ENSELUT00000011213
ENSELUG00000000195	ENSELUT00000011177
ENSELUG00000000195	ENSELUT00000011201
ENSELUG00000000196	ENSELUT00000011180
ENSELUG00000000197	ENSELUT00000011065
ENSELUG00000000198	ENSELUT00000011084
ENSELUG00000000198	ENSELUT00000011103
ENSELUG00000000199	ENSELUT00000011028
ENSELUG00000000200	ENSELUT00000010980
ENSELUG00000000200	ENSELUT00000011014
ENSELUG00000000200	ENSELUT00000011026
ENSELUG00000000201	ENSELUT00000010932
ENSELUG00000000201	ENSELUT00000010976
ENSELUG00000000201	ENSELUT00000011053
ENSELUG00000000201	ENSELUT00000011070
ENSELUG00000000201	ENSELUT00000011140
ENSELUG00000000201	ENSELUT00000011199
ENSELUG00000000202	ENSELUT00000010823
ENSELUG00000000202	ENSELUT00000010845
ENSELUG00000000202	ENSELUT00000010873
ENSELUG00000000203	ENSELUT00000010785
ENSELUG00000000204	ENSELUT00000010783
ENSELUG00000000205	ENSELUT00000010789
ENSELUG00000000205	ENSELUT00000010838
ENSELUG00000000206	ENSELUT00000010773
ENSELUG00000000207	ENSELUT00000010582
ENSELUG00000000207	ENSELUT00000010618
ENSELUG00000000207	ENSELUT00000010654
ENSELUG00000000208	ENSELUT00000010586
ENSELUG00000000208	ENSELUT00000010595
ENSELUG00000000209	ENSELUT00000010461
ENSELUG00000000209	ENSELUT00000010474
ENSELUG00000000209	ENSELUT00000010495
ENSELUG00000000210	ENSELUT00000010457
ENSELUG00000000210	ENSELUT00000010510
ENSELUG00000000210	ENSELUT00000010606
ENSELUG00000000210	ENSELUT00000010696
ENSELUG00000000210	ENSELUT00000010772
ENSELUG00000000211	ENSELUT00000010362
ENSELUG00000000212	ENSELUT00000010312
ENSELUG00000000213	ENSELUT00000010038
ENSELUG00000000214	ENSELUT00000010034
ENSELUG00000000215	ENSELUT00000010047
ENSELUG00000000216	ENSELUT00000010112
ENSELUG00000000216	ENSELUT00000010162
ENSELUG00000000217	ENSELUT00000010094
ENSELUG00000000217	ENSELUT00000010170
ENSELUG00000000217	ENSELUT00000010179
ENSELUG00000000217	ENSELUT00000010230
ENSELUG00000000218	ENSELUT00000009998
ENSELUG00000000218	ENSELUT00000010016
ENSELUG00000000219	ENSELUT00000009987
ENSELUG00000000220	ENSELUT00000009983
ENSELUG00000000221	ENSELUT00000009889
ENSELUG00000000222	ENSELUT00000009897
ENSELUG00000000222	ENSELUT00000009908
ENSELUG00000000223	ENSELUT00000009874
ENSELUG00000000224	ENSELUT00000009747
ENSELUG00000000225	ENSELUT00000009740
ENSELUG00000000226	ENSELUT00000009742
ENSELUG00000000226	ENSELUT00000009764
ENSELUG00000000227	ENSELUT00000009789
ENSELUG00000000228	ENSELUT00000009734
ENSELUG00000000229	ENSELUT00000009778
ENSELUG00000000230	ENSELUT00000009743
ENSELUG00000000230	ENSELUT00000009775
ENSELUG00000000230	ENSELUT00000009800
ENSELUG00000000230	ENSELUT00000009820
ENSELUG00000000231	ENSELUT00000009783
ENSELUG00000000232	ENSELUT00000009818
ENSELUG00000000233	ENSELUT00000009695
ENSELUG00000000233	ENSELUT00000009719
ENSELUG00000000234	ENSELUT00000009651
ENSELUG00000000235	ENSELUT00000009694
ENSELUG00000000236	ENSELUT00000009634
ENSELUG00000000237	ENSELUT00000009625
ENSELUG00000000237	ENSELUT00000009642
ENSELUG00000000237	ENSELUT00000009647
ENSELUG00000000238	ENSELUT00000009613
ENSELUG00000000239	ENSELUT00000009601
ENSELUG00000000240	ENSELUT00000009573
ENSELUG00000000241	ENSELUT00000009541
ENSELUG00000000242	ENSELUT00000009565
ENSELUG00000000242	ENSELUT00000009612
ENSELUG00000000242	ENSELUT00000009630
ENSELUG00000000242	ENSELUT00000009644
ENSELUG00000000243	ENSELUT00000009576
ENSELUG00000000243	ENSELUT00000009609
ENSELUG00000000244	ENSELUT00000009544
ENSELUG00000000244	ENSELUT00000009631
ENSELUG00000000245	ENSELUT00000009589
ENSELUG00000000245	ENSELUT00000009641
ENSELUG00000000246	ENSELUT00000009516
ENSELUG00000000247	ENSELUT00000009502
ENSELUG00000000248	ENSELUT00000009524
ENSELUG00000000248	ENSELUT00000009542
ENSELUG00000000248	ENSELUT00000009584
ENSELUG00000000249	ENSELUT00000009449
ENSELUG00000000250	ENSELUT00000009426
ENSELUG00000000250	ENSELUT00000009438
ENSELUG00000000250	ENSELUT00000009499
ENSELUG00000000250	ENSELUT00000009538
