Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSORLG00000004730	8.28334	17.0732	27.0944	28.315	18.227	14.5497	20.3139	6.5969	1.31489	7.63492	10.1388
ENSORLG00000004731	0.666751	0.0852295	7.15991	0.131128	0	0	0	0	0.481145	0	2.93272
ENSORLG00000004732	7.70621	7.90014	19.5619	21.1464	21.5667	14.5181	19.3141	7.29259	2.03346	3.07182	5.71528
ENSORLG00000004733	7.43486	16.8347	18.7479	13.0186	17.7455	10.498	11.0231	1.96248	1.70647	4.84774	19.5748
ENSORLG00000004734	25.0389	6.38808	1.83042	119.70549	50.20697	34.3238	689.0057	15.848	2.4286	0.566076	11.6169
ENSORLG00000004735	37.7422	24.0821	44.4799	21.3681	289.773	135.607	3.70718	5.70875	3.2644	0.21167	7.05541
ENSORLG00000004736	3.48964	5.11244	5.99177	16.8002	6.46512	5.03608	7.46743	0.720024	0.393718	8.92368	21.8279
ENSORLG00000004737	0.225035	1.56893	0.547544	0.258838	0.0934808	1.81966	0	0	0	0.09253	0.235039
ENSORLG00000004738	0.87618	1.30895	2.17825	8.32474	0.696275	0.962612	2.6047	0.642648	0.160407	0.0188016	1.71106
ENSORLG00000004739	1.35847	0.213182	0	0.0819472	0.177964	0.938773	0	0.127148	0	0.0179121	1.12648
ENSORLG00000004740	12.3725	89.846389	6.13014	24.602035	9.20382	50.116814	4.0893	2.27665	5.23034	7.25725	2.559191
ENSORLG00000004741	2.09436	56.0339	0.629686	0.252169	0.210549	0.325868	5.82711	0.0510272	0.0403643	0.00561258	0.753957
ENSORLG00000004742	295.788	61.8536	977.383	80.5863	1299.99	54.4641	6880.66	18429.5	22.9537	3.52536	261.954
ENSORLG00000004743	10.0753	29.0014	5.20959	22.9851	5.80588	9.79306	1.94787	2.28906	0.52935	1.11616	7.685
ENSORLG00000004744	0	0	3.54184	4.18902	0	0	0	0	0	0	0.235235
ENSORLG00000004745	0.527497	0.324632	22.1563	2.17858	5.13143	3.85825	1.96216	0.0550835	0.0217739	3.39669	24.4747
ENSORLG00000004746	1.53898	1.28858	1.17113	1.75937	3.58691	0.873853	0.494861	0.684944	0.0675562	15.4724	0.81157
ENSORLG00000004747	13.5665	15.26	27.4173	28.2342	22.725	10.9451	27.8505	5.78901	5.71645	11.891	11.404
ENSORLG00000004748	6.17957	52.4088	1.12872	0.352975	6.05743	16.5263	0.132424	0	0.144687	1.25624	8.15444
ENSORLG00000004749	1.11003	10.7513	4.34308	0.272405	0.263057	0.0800671	0	0.282098	0.0556748	0.0398687	0.250166
ENSORLG00000004750	0.552153	6.21275	0.6497711	0.840153	0.6910884	0.531421	0	0	0.899732	0.0156987	1.874894
ENSORLG00000004751	10.4009	43.104	19.9207	12.7837	4.69935	17.0491	9.30948	1.97847	3.96565	3.64598	12.1918
ENSORLG00000004752	989.345	674.141	2807.01	2211.52	1706.17	1110.6	1362.38	1028.64	368.438	154.245	868.051
ENSORLG00000004753	0.303161	3.68819	0.35674	0.496366	0.162676	0.257161	0.240044	0.121412	0.0548833	0.0166813	1.48446
ENSORLG00000004754	3.87425	12.03763	20.6716	10.67852	12.67248	6.1329	7.02359	1.503251	0.792759	6.03621	183.9372
ENSORLG00000004756	4.29672	15.6627	3.52618	18.1933	9.00297	3.88741	10.8865	0.976426	0.876709	0.867665	1.93475
ENSORLG00000004757	8.0356	27.8015	11.5066	76.3168	9.07	16.0865	2.77619	15.6694	3.9516	11.1551	62.4559
ENSORLG00000004758	12.10139	0.189682	0.428843	1.588549	0.0393964	10.95434	0.1042	0.0421363	33.72529	0.0590141	0.431431
ENSORLG00000004759	8.12674	7.85735	41.9614	17.0502	16.3326	6.63597	17.5576	1.725	4.53054	16.5498	14.357
ENSORLG00000004760	7.66168	5.2087	8.54262	4.43864	5.91026	21.3485	1.16717	1.96816	1.27705	0.0334012	2.34035
ENSORLG00000004761	1.33331	12.0024	1.43755	0.104642	0.0503657	0	0	0	0.0425273	0.543982	0.158059
ENSORLG00000004762	12.2715	41.4986	12.9805	34.0951	9.37799	12.9775	35.032	6.01288	1.52963	1.44167	1.26188
ENSORLG00000004763	3.53858	4.41083	24.9707	8.86217	7.38317	2.4391	11.9219	0.332849	2.22633	12.7204	8.7679
ENSORLG00000004764	3.9175	1.85966	1.71919	42.2061	7.38618	20.5373	62.1016	2.51883	1.10155	4.28414	28.8828
ENSORLG00000004765	6.74465	13.8011	0.133781	0.337325	87.1318	0.407562	0.236461	0.0325438	0	0.0271195	0.421078
