Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSMPUG00000000258	0.45	28.78	30.9	1.04	54.06	1.13	2.62
ENSMPUG00000000259	0.28	0.32	0	0	0.23	0	73.76
ENSMPUG00000000260	51.56	4.13	29.98	0.36	14.17	0.59	41.57
ENSMPUG00000000261	0	0	0	0	0	0	0
ENSMPUG00000000262	0	0	0	0	0	0	0
ENSMPUG00000000263	5.76	22.28	11.65	59.58	80.04	9.48	10.71
ENSMPUG00000000264	0	0	0	0	0	0	0
ENSMPUG00000000265	13.67	76.36	47.94	832.12	128.45	17.17	22.02
ENSMPUG00000000266	100.52	51.8	22.34	32.67	52.05	37.32	90.71
ENSMPUG00000000267	13.34	10.06	30.65	10.68	16.82	5.05	4.62
ENSMPUG00000000268	12.68	10.4	23.22	13.55	22.18	9.04	40.36
ENSMPUG00000000269	130.18	2.68	0.84	0.95	2.75	0.74	8.45
ENSMPUG00000000270	8.21	9.47	236.92	2.1	29.28	2.45	3.38
ENSMPUG00000000271	517.4	3.81	1.34	0	0.67	0.09	0.09
ENSMPUG00000000272	24.23	28.51	29.52	11.38	20.95	11.98	19.01
ENSMPUG00000000273	52.8	63.59	60.42	50.18	84.23	55.63	232.46
ENSMPUG00000000274	0	0	1.7	0.8	2.77	0	0.18
ENSMPUG00000000275	0	0	0.45	0	0	0	0
ENSMPUG00000000276	66.21	30.82	24.91	18.26	46.9	21.07	84.22
ENSMPUG00000000277	2.9	0	0.05	0	0	0	0.04
ENSMPUG00000000278	133.48	83.14	60.7	32.29	44.53	38.34	70
ENSMPUG00000000279	15.36	8.18	7.04	4.12	19.68	5.56	7.29
ENSMPUG00000000280	11.85	13.11	9.65	3.02	9.61	6.3	22.24
ENSMPUG00000000281	53.12	28.64	22.16	18.14	60.02	16.26	67.17
ENSMPUG00000000282	25.41	0.68	1.81	1.1	3.14	0.32	5.9
ENSMPUG00000000283	2.4	0	0	0	0	0.05	4.75
ENSMPUG00000000284	1.98	0.18	5.72	0.88	7.46	0.11	35.11
ENSMPUG00000000285	25.88	13.29	20.98	11.88	16.31	7.01	7.43
ENSMPUG00000000286	484.58	33.88	400.27	49.43	81.15	19.94	115.57
ENSMPUG00000000287	9.74	13.59	16.06	4.38	3.22	8.76	30
ENSMPUG00000000288	73.39	88.54	55.34	37.8	58.5	253.1	85.98
ENSMPUG00000000289	0.29	0	6.31	0.28	1.37	0	50.55
ENSMPUG00000000290	9.45	16.68	4.34	5.63	14.53	18.81	17.89
ENSMPUG00000000291	18	0.18	1.3	0.64	14.99	0	0.58
ENSMPUG00000000292	96.69	52	47.01	20.68	43.89	39.41	51.17
ENSMPUG00000000293	28.07	7.19	11.6	3.77	20.15	2.94	11.42
ENSMPUG00000000294	1.26	0.4	1.41	0.05	4.12	0.03	24.09
ENSMPUG00000000295	2.74	0.78	0.64	0	0.54	0.17	2.7
ENSMPUG00000000296	36.92	62.31	35.25	44.67	149.57	24.95	46.77
ENSMPUG00000000297	8.28	6.17	5.94	16.05	30	3.64	33.44
ENSMPUG00000000298	98.89	93.29	35.07	35.48	66	88.25	287.68
ENSMPUG00000000299	3.46	4.53	85.19	1.55	2.51	2.36	3.51
ENSMPUG00000000300	273.38	14.22	5.29	0.37	21.54	6.17	2.72
ENSMPUG00000000301	16.17	24.91	3.37	1.02	22.67	18.93	6.83
ENSMPUG00000000302	0.18	0	0.16	0.12	0	0	0
ENSMPUG00000000303	12	7.79	6.65	4.46	7.39	6.46	6.57
ENSMPUG00000000304	35.62	97.42	35.86	19.44	64.5	33.61	15.41
ENSMPUG00000000305	20.08	20.96	10.77	9.91	11.61	20.79	26.75
ENSMPUG00000000306	0.54	3.2	0.42	9.64	3.26	1.65	0.31
ENSMPUG00000000307	2.02	7.13	13.45	5.06	55.49	1.13	1.79
ENSMPUG00000000308	1.02	0	0	0.23	0	0	0
ENSMPUG00000000309	0	0.37	0	0	0	0	0.15
ENSMPUG00000000310	20.81	22.04	5.9	4.72	10.27	11.36	39.83
ENSMPUG00000000311	1.8	0.48	0	0	1.38	0	0.1
ENSMPUG00000000312	0.54	0.85	0.21	0.13	0.34	0.27	0.55
ENSMPUG00000000313	15.38	2.17	0.58	0.02	5.85	0.73	0.35
ENSMPUG00000000314	61.08	24.38	19.1	14.81	25.59	24.01	29.55
ENSMPUG00000000315	33.1	343.42	5.91	4.97	64.06	14.93	8.78
ENSMPUG00000000316	0.39	0	0	0	0	0	0.3
ENSMPUG00000000317	0	0	0	0	0	0	18.59
ENSMPUG00000000318	0.24	0.22	881.64	0.16	0.33	0.19	0.18
ENSMPUG00000000319	5.05	7.42	2.16	2.84	13.05	3.15	10.12
ENSMPUG00000000320	70.45	16.76	17.04	16.86	30.93	9.03	54.39
ENSMPUG00000000321	114.81	106.32	71.43	59.23	98.76	63.58	116.49
ENSMPUG00000000322	0.83	1.5	0.11	0.04	0	0.85	0.43
ENSMPUG00000000323	54.34	60.47	60.24	30.28	45.07	54.08	114.23
ENSMPUG00000000324	17.13	13.27	6.13	5.87	7.98	7.69	4.58
ENSMPUG00000000325	0	0	0.4	0.2	0.24	0.46	0
ENSMPUG00000000326	4.48	2.44	1.47	1.17	4.99	1.07	23.49
ENSMPUG00000000327	89.25	46.12	64.2	28.62	64.52	38.29	67.59
ENSMPUG00000000328	0	0	139.13	40.04	0	0	0
ENSMPUG00000000329	0	0	0	0	0	0	0
ENSMPUG00000000330	0	0	0.77	2.3	0.72	0	1.33
ENSMPUG00000000331	23.01	78.43	12.68	22.17	57.06	33.21	5.34
ENSMPUG00000000332	0	0	0	0	0	0	3.43
ENSMPUG00000000333	4.73	4.89	6.3	5.6	6.87	1.4	33.22
ENSMPUG00000000334	0.65	1.15	1.16	0.16	1.21	1.21	1.53
ENSMPUG00000000335	128.81	67.92	114.96	42.4	76.77	48.77	59.76
ENSMPUG00000000336	2.41	7.81	6.16	8.9	19.37	3.11	0.94
ENSMPUG00000000337	694.52	882.19	1364.7	887.58	1303.74	894.77	517.23
ENSMPUG00000000338	2.38	1.94	4.47	1.45	2.23	0.93	1.13
ENSMPUG00000000339	3.17	1.38	0.43	2.93	7.06	0.57	0.09
ENSMPUG00000000340	16.39	13.31	8.4	6.82	18.94	7.12	12.31
ENSMPUG00000000341	38.9	1.68	0.5	1.04	2.48	1.56	0.42
ENSMPUG00000000342	7.49	11.32	5.25	6.06	34.76	7.97	42.73
ENSMPUG00000000343	0.24	0.6	0.5	1.87	5.03	0.16	9.41
ENSMPUG00000000344	2.03	6.74	4.79	9.91	19.38	1.49	5.16
ENSMPUG00000000345	25.27	30.04	12.01	2.53	67.01	4.69	1.47
ENSMPUG00000000346	0	0.14	57.27	14.06	0	0	6.81
