Ens.ID	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver	TPM.kidney
ENSGALG00000002559	3.11976	2.557484	4.064834	0.969231	35.862043	57.067187	226.132985	11.751365	5.299986
ENSGALG00000002560	0.078413	0	0.023662	0	0.04451	0	0.383864	0	0
ENSGALG00000002561	7.018705	0.926809	0.406238	0.1106	12.307012	6.073715	13.075623	1.234159	1.240463
ENSGALG00000002562	1.371758	19.754005	5.353542	1.829953	9.843059	90.349686	27.06339	9.145562	5.939042
ENSGALG00000002563	92.224277	5216.85145	12.434618	4.576371	97.416056	216.218543	171.00331	12.965511	19.255984
ENSGALG00000002564	7.832114	20.094735	220.130776	7.884584	11.777973	11.598134	3.717388	5.800226	2.804939
ENSGALG00000002567	0.728201	0	0	0	0	0.005556	0	0	0
ENSGALG00000002569	844.939548	41.153696	176.262349	847.368297	157.517522	106.344269	225.429795	90.541402	91.212906
ENSGALG00000002570	0.1088	0.102166	0.998256	0	5.251771	3.468887	13.240641	0.256427	0.250003
ENSGALG00000002574	7.366519	0.159912	5.976005	1.532605	5.375762	7.389687	8.548776	1.809437	3.101114
ENSGALG00000002576	4.887339	2.321383	17.216557	2.603295	52.918	38.752693	14.67529	2.928071	67.691173
ENSGALG00000002577	0.116048	0.638085	2.474473	0	0.006071	0.267132	0.164898	0	0.069589
ENSGALG00000002578	59.364341	6.117606	9.73489	5.314999	26.45748	16.869057	13.180764	12.773826	11.452472
ENSGALG00000002579	3.199007	0.738612	27.057489	0.156866	1.874338	1.024131	0.310114	0.954882	0.981333
ENSGALG00000002581	1.395356	0.715251	13.488894	1.090279	19.642117	5.420657	16.923462	3.484227	1.78013
ENSGALG00000002583	4.048436	0.451209	20.313666	0.898422	9.577794	17.811759	79.081165	4.034672	1.762727
ENSGALG00000002585	5.032501	0.485077	6.318046	13.671205	5.743719	13.840859	5.393229	0.141839	2.552589
ENSGALG00000002587	25.760324	10.168122	35.911624	16.457605	29.996057	26.555697	29.98106	16.763238	28.139945
ENSGALG00000002588	53.903066	11.1844	24.445304	11.888408	80.020655	26.836119	28.455358	6.842499	9.773544
ENSGALG00000002590	26.033105	0.027673	0.107744	0	0.120576	0.443336	0.281716	0.015674	0.144865
ENSGALG00000002591	50.143437	37.786307	53.484497	94.152071	74.875419	77.588223	102.170922	63.485288	46.306254
ENSGALG00000002594	14.062526	1.153358	4.815541	0.514576	3.719901	5.451331	6.907442	0.130911	2.07918
ENSGALG00000002595	156.806609	304.03757	429.509221	259.806704	180.642844	159.105394	250.70646	734.459719	413.086317
ENSGALG00000002597	11.912344	67.034496	0.163228	14.089468	0.065611	0.368511	0.776445	0.035027	0.063081
ENSGALG00000002598	93.933751	9.695586	23.986103	6.634143	31.467069	37.571451	20.613921	25.165468	39.326342
ENSGALG00000002599	35.976698	0.568011	0.326888	0.222097	11.877181	5.330647	9.150889	2.061665	2.505973
ENSGALG00000002602	3.35302	0.094365	11.244764	0.13737	1.370104	0.375271	2.529816	0.051971	0.205166
ENSGALG00000002603	35.226973	8.361479	46.682907	15.256628	26.448952	37.273647	42.181754	20.038684	20.69618
ENSGALG00000002604	23.321992	4.666107	21.725251	19.402618	26.882919	51.48446	43.929522	11.129244	20.501518
ENSGALG00000002605	70.561333	64.144511	48.771713	32.60778	78.068373	66.35423	81.468215	77.408125	48.193351
ENSGALG00000002606	40.04045	6.342954	734.934559	5.727996	61.367748	34.588544	24.747152	4.298882	28.409112
ENSGALG00000002607	0.325439	0.199813	1.083038	0.265307	6.995427	8.607302	22.200651	0.994774	1.562157
ENSGALG00000002610	2.556351	12.026924	50.996228	7.025744	5.007836	14.874525	25.688557	1.057686	11.30346
ENSGALG00000002611	1.827653	0	0	0	0	0	0	0	0
ENSGALG00000002612	61.316836	9.72725	55.944349	30.917074	45.631748	75.855356	86.528588	23.242475	29.339222
ENSGALG00000002614	0.082427	0.444774	0.215308	0.0779	0.816297	7.751799	5.7061	0.974936	0.853128
ENSGALG00000002615	7.690604	5.39376	8.753883	2.131867	31.886752	39.123091	169.009939	7.834611	5.595534
ENSGALG00000002616	17.170696	1.502136	24.757299	15.352501	20.747714	19.711581	19.257812	4.653745	8.614158
ENSGALG00000002618	6.716081	0.318637	7.229835	0.424171	2.376005	4.165783	1.058152	0.425929	1.622122
ENSGALG00000002621	12.159622	0.928677	12.006911	18.983256	3.077492	11.067251	5.621745	7.308081	14.727048
ENSGALG00000002622	1.000759	1.001781	4.158723	0.152378	4.923898	7.452781	18.063657	14.872338	3.097945
ENSGALG00000002623	14.061064	1.683514	2.288233	227.771192	10.775912	20.425789	2.153101	7.184914	5.705951
ENSGALG00000002624	23.326178	3.101959	16.550521	17.587054	17.573648	21.740526	38.228085	8.073969	11.804413
ENSGALG00000002626	16.102068	4.531173	26.712221	31.303321	43.797613	28.345205	51.954308	70.202999	23.137963
ENSGALG00000002629	62.373303	1.170177	29.260131	8.874876	43.664984	59.96465	42.336677	15.067073	78.76498
ENSGALG00000002630	7.13031	2.168892	7.656555	3.206658	6.611661	12.388693	13.312602	6.522327	6.023276
ENSGALG00000002631	8.006942	24.236899	8.608605	1.847391	13.560071	15.234087	12.024874	3.518531	1.596355
ENSGALG00000002632	11.701778	0.506545	13.689958	4.94536	6.690488	60.210004	18.568497	5.410555	6.462268
ENSGALG00000002633	0.631729	4.31001	1.033888	1.527701	2.991947	1.668259	3.157445	4.210723	2.743629
ENSGALG00000002634	33.61293	8.239952	24.392637	9.507524	22.932819	25.240748	33.632661	17.701109	19.82679
ENSGALG00000002637	0.784225	0.914566	0.155824	0.27254	0.227314	1.317134	0.388259	0.218658	0.302419
ENSGALG00000002638	3.285704	8.169564	1.399662	41.797859	3.030631	0.845625	0.417132	0.586162	0.436842
ENSGALG00000002639	16.085959	1.431607	66.725026	9.246625	18.485065	27.665646	23.904312	4.471022	7.621708
ENSGALG00000002643	4.160963	1.632989	2.185919	0.507858	6.851391	52.12397	107.107076	5.876805	1.012864
ENSGALG00000002644	420.632994	166.902073	333.426859	465.781658	776.720431	640.329942	1061.404562	384.944956	419.387024
ENSGALG00000002645	185.190027	0.066261	2.177663	0	0.186421	0.759797	0.93199	0.067895	16.02651
ENSGALG00000002646	86.094847	0.198804	27.662655	0.082571	0.742259	1.030319	1.451177	0.065448	0.668669
ENSGALG00000002647	4.839511	0.155623	0.658861	0.756089	90.302081	1.237508	0.296135	0.480142	21.302441
ENSGALG00000002648	12.947739	7.909529	12.792203	4.086256	14.167534	11.076891	19.786363	16.834519	9.567361
ENSGALG00000002649	7.271901	1.028142	23.845376	10.252932	14.683549	17.554384	17.638673	12.857751	15.118534
ENSGALG00000002651	7.51141	7.816826	20.613574	8.784022	13.529503	26.257425	28.917588	9.573999	7.593233
ENSGALG00000002652	0.462905	0.009991	1.959681	0	0.10171	1.215017	0.408227	0	2.976953
ENSGALG00000002653	24.254007	2.269946	10.9428	8.825643	10.37606	13.763865	18.001077	4.506541	12.169235
ENSGALG00000002655	10.496971	0.360374	3.530668	6.214161	9.678599	25.703976	32.417482	4.024395	9.680436
ENSGALG00000002656	20.369484	8.645481	30.151718	24.6664	45.2623	66.063238	35.755088	23.570886	34.770886
ENSGALG00000002658	26.394279	6.060117	21.541113	8.776686	22.792341	38.203472	38.826993	10.959595	13.60339
ENSGALG00000002659	40.738373	5.609267	35.84978	22.831973	23.17698	24.701045	25.089168	17.102646	23.182065
ENSGALG00000002661	247.42386	123.400236	1124.38358	992.155673	405.699478	317.901526	322.644243	232.927036	271.820736
ENSGALG00000002663	5.514586	0.154988	1.556062	1.316136	3.145001	2.683796	4.38206	0.653008	1.405873
ENSGALG00000002664	37.535535	21.187898	25.441176	44.297034	140.953914	115.525008	79.347485	26.52221	46.112071
ENSGALG00000002665	6.259329	6.391489	20.308785	4.119585	10.286902	13.369223	13.84227	10.762538	5.63329
ENSGALG00000002666	18.931635	4.804898	100.338191	13.046757	34.72184	34.68805	23.052725	11.917909	77.134618
ENSGALG00000002667	1.967742	1.045088	6.621731	2.227281	25.627584	31.680243	241.171795	10.271203	3.839144
ENSGALG00000002670	243.235864	21.681925	41.280743	130.225794	46.228974	58.790876	56.377426	33.682146	46.188475
ENSGALG00000002671	3.550589	0.267651	7.574722	0	0.26869	1.995062	1.467971	0.041497	0.371929
ENSGALG00000002672	11.536704	3.521556	4.986558	3.683728	27.312207	39.299772	60.125453	10.323315	11.646643
ENSGALG00000002673	10.969565	0.859015	25.212835	47.432244	10.488506	13.359085	16.992658	8.090796	5.981958
ENSGALG00000002675	8.848921	0.075041	0.929524	0.008142	5.742759	0.958781	7.79004	0.77694	0.57634
ENSGALG00000002677	136.665175	8.362216	34.704845	62.812514	24.989028	40.480428	28.833748	13.10637	16.765094
ENSGALG00000002678	1.68402	2.182657	3.621029	0.87974	12.827568	40.302786	3.248034	0.395448	0.806389
ENSGALG00000002679	8.603598	1.048196	17.589234	0.047094	6.621828	4.464108	3.92165	5.235607	3.757521
ENSGALG00000002681	5.15481	1.803707	7.94559	1.924811	10.958304	10.820376	18.394381	55.332859	1.586213
ENSGALG00000002682	108.109438	2.648988	13.588251	8.793508	7.400614	22.242386	18.61685	2.777452	4.855155
ENSGALG00000002683	40.067881	16.713353	39.628218	17.421379	47.323207	36.456246	35.531064	172.788453	153.642941
ENSGALG00000002686	16.560623	2.368308	16.628276	5.327271	14.072898	14.565325	24.01679	10.726271	13.835596
ENSGALG00000002688	58.392222	1.199212	0.029267	0	1.277213	4.013523	1.760247	2855.678889	0.1649
ENSGALG00000002689	241.693726	3.946856	12.451616	6.133992	18.405811	16.579594	15.35103	6.911487	10.7555
ENSGALG00000002690	22.419871	3.677685	13.120294	6.72674	10.155055	11.538267	13.903225	24.270067	7.521342
ENSGALG00000002692	535.672893	0.839996	0.052728	0	1.176428	3.502149	0.797694	0.011041	2.08129
ENSGALG00000002693	59.906844	0.718408	22.487098	4.577161	18.149854	23.718701	35.565987	15.606815	21.284768
ENSGALG00000002695	8.744653	2.159653	11.38898	11.64509	11.285317	16.787225	24.721668	8.494996	5.477257
ENSGALG00000002696	921.092158	511.828794	592.995556	1349.615946	1548.227625	1141.197045	1981.998569	965.292114	702.19641
ENSGALG00000002697	39.374339	6.251104	43.432273	10.902226	19.988177	14.256822	18.067965	7.891501	14.255116
ENSGALG00000002699	0.883052	4.834573	18.413328	3.85039	18.067131	29.646794	27.855594	58.681231	37.148094
ENSGALG00000002701	66.594195	4.088485	13.838188	11.201087	18.357075	13.614052	25.186398	9.163543	12.23083
