Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSOCUG00000000345	181.62	0.35	0.13	0.12	0.29	0.15	1.25
ENSOCUG00000000346	39.1	12.34	29.61	15.57	36	16.66	229.31
ENSOCUG00000000347	131.44	107.55	179.6	121.86	223.24	120.94	397.75
ENSOCUG00000000348	16.19	6.42	18.72	59.61	68.47	7.02	4.87
ENSOCUG00000000349	48.33	0.33	1.1	0.5	1.5	0.16	5.29
ENSOCUG00000000350	0	0	0	0	0	0	0
ENSOCUG00000000353	30.75	16.35	51.82	26.28	30.2	5.55	180.95
ENSOCUG00000000354	21.32	17.02	30.31	28.19	24	12.99	14.59
ENSOCUG00000000355	70.93	1.06	1.19	2.95	6.26	51.04	9.16
ENSOCUG00000000356	22.8	6.01	29.04	15.22	49.39	4.91	7.17
ENSOCUG00000000357	30.53	14.07	20.18	15.58	25.29	7.83	20.61
ENSOCUG00000000358	293.77	120.52	171.77	55.84	123.06	79.98	184.65
ENSOCUG00000000359	50.27	23.37	42.52	28.15	59.87	24.63	31.39
ENSOCUG00000000360	7.5	0.14	26	0.2	3.75	0.72	0.59
ENSOCUG00000000361	1.34	0	0.05	0	0.18	0	1.49
ENSOCUG00000000363	0.07	0.24	0.13	0.8	3.39	0.29	1.65
ENSOCUG00000000364	26.3	8.42	26.35	80.34	35.37	5.46	18.87
ENSOCUG00000000365	7.97	2.19	8.04	3.03	7.03	2.88	16.17
ENSOCUG00000000367	20.67	4.49	9.43	6.13	13.86	5.84	17.8
ENSOCUG00000000368	11.07	3.57	7.06	6.86	9.49	8.02	6.73
ENSOCUG00000000370	15.55	2.54	0.24	0.07	11.2	1.14	0.91
ENSOCUG00000000371	5.01	3.42	222.25	17.65	7.29	2.62	31.99
ENSOCUG00000000373	0	0	0	0	0	0	0
ENSOCUG00000000374	1.73	3.24	7.92	0.31	6.01	1.53	0.93
ENSOCUG00000000375	2.71	0.84	3.47	1.28	2.05	4.8	2.39
ENSOCUG00000000377	2.95	1.48	2.5	8.54	9.71	0.5	61.32
ENSOCUG00000000378	0.1	0	0	0	0.11	0.1	73.58
ENSOCUG00000000379	0	0	0	0	0	0	0
ENSOCUG00000000380	6.11	2.89	5.81	0.74	14.91	2.09	4.33
ENSOCUG00000000381	50.16	11.52	33.91	21.81	27.21	11.47	8.23
ENSOCUG00000000382	28.25	7.24	20.43	9.65	35.09	4.44	34.25
ENSOCUG00000000383	0.18	0.03	0	0.02	0	0.02	0.78
ENSOCUG00000000384	1.75	0	0.05	0	0	0.05	0.32
ENSOCUG00000000385	34.66	9.35	18.15	3.95	24.36	343.56	197.49
ENSOCUG00000000386	8.42	0.98	18.63	13.63	10.53	0.76	7.62
ENSOCUG00000000387	0	0	0	0.04	0.85	0	0.39
ENSOCUG00000000388	10.02	4.72	70.91	10.77	11.68	1.75	11.71
ENSOCUG00000000389	5.53	1.2	1.75	0.79	2.38	2.52	155.8
