Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSDARG00000041108	34.402846	17.626542	72.066914	85.314234	85.610493	31.863823	1029.197899	5.694527	14.410765	0.792822	25.763989
ENSDARG00000041110	24.020176	15.386842	12.190977	12.827423	70.615987	4.37214	25.75565	11.356687	11.118522	85.732487	18.849213
ENSDARG00000041113	12.574166	14.566731	46.564733	8.969473	33.358958	3.997553	4.583732	1.867675	6.808656	47.2676265	27.358481
ENSDARG00000041115	0.067802	0	0.949357	0.117622	0.14208	0.037384	16.907414	0	0	0.0805755	0.59666
ENSDARG00000041117	0.123733	0.605054	1.785906	8.211355	0.257421	0.112429	0.049085	0.029893	0.029265	0.140136	2.972137
ENSDARG00000041119	0.046182	0	3.960239	142.002887	0.107646	0.132773	3.183802	0	0.158404	0.08605	0.418162
ENSDARG00000041133	5.520162	0.343685	24.558536	1.287989	0.058474	0.238935	0	0.03403	14.871442	0	0.586422
ENSDARG00000041137	9.521683	12.912583	11.077404	33.943664	17.403797	13.835187	10.526722	8.291064	5.137139	7.774461	16.630791
ENSDARG00000041140	15.645992	10.97835	14.418441	29.285509	43.018628	5.949749	9.021208	2.303923	6.852684	50.1545695	53.410517
ENSDARG00000041141	0.414983	2.949857	0.271799	0.961792	0.493638	1.280872	0.130627	0	0.088378	0	15.044232
ENSDARG00000041145	1.513144	1.27155	0.154362	0.55878	5.743655	0.027844	0.298213	0	0.790312	8.377996	10.172233
ENSDARG00000041150	1.849673	61.750645	5.023641	0.391943	0.119488	0.119973	0	0.051893	0.025114	0.0786185	1.496939
ENSDARG00000041155	33.411649	66.837253	76.535024	53.464753	60.374465	25.25077	26.673501	4.75958	16.389925	51.3816795	41.693044
